verdict,product,file,category,overlap,brand_on_pack,text_found
wrong brand,Arun Ic 10,arun-ic-10.jpg,Beverages,0.0,pepsico,Carbonated Soft Drinks PEPS PEPS Pepsi Black Pepsi Mountain Dew Mirinda 7UP EnergyDrink Club Soda Carbonated Juice-basedDrinks Dukes Sting Sting Blue Evervess 7UpNimboozMasalaSoda FruitPulp/Juice-basedDrinks Lipton Ice Tea Slice 7UP.Nimbooz Tropicana100% Tropicana Delight Peach Lemon Sports Drink Pa
wrong brand,5 Star 5Rs,5-star-5rs.jpg,Chocolates & Candies,0.0,cadbury,Cadbury 5star MORE CARAMEL
wrong brand,Madhuram Jack Fr 105Rs,madhuram-jack-fr-105rs.png,Sweeteners,0.0,patanjali,HRA Net Quantity Suggested Use: Jaggery powder is a natural  : 1 kg traditional product and sweetener. Itcanbeused as a sweetening agent in the Batch No. preparation of different traditional sweets Packaging Date Expiy/Use by Date: Do not add jaggery powder in boiling MRP condition of milk which mig
wrong brand,Madhuram 80,madhuram-80.png,Sweeteners,0.0,patanjali,HRA Net Quantity Suggested Use: Jaggery powder is a natural  : 1 kg traditional product and sweetener. Itcanbeused as a sweetening agent in the Batch No. preparation of different traditional sweets Packaging Date Expiy/Use by Date: Do not add jaggery powder in boiling MRP condition of milk which mig
wrong brand,Horlicks 500g Box,horlicks-500g-box.jpg,Tea & Coffee,0.0,sensodyne,GET PRODYNE SENSODYNE DEEPCLEAN14g WITHTHIS PACK STH CLASSICMALT 500g
wrong brand,D.H Red Aval 500g,d-h-red-aval-500g.jpg,Rice & Cereals,0.5,tata,"100020 tic No lettersofBatchNo.(B)andsee by(SM)SantoshRiceMuisPIu TATA SWEETRECIPEWITRCOCONUT&JAGGERY Red Rice Pillagha ict-Surat,Gujarat394421 No.10020021006602（BA）Bai Ltd.2AToTeaBar Miph in Taste rat-394601.Lic.No.10714022 ISUMER CAREDETAILS:CUSTO CUTIVE.TATA CONSUMER PRO taste LOSKARBUSINESSPARKH"
wrong brand,Bakers Pav Bhaji Masala,bakers-pav-bhaji-masala.jpg,Spices & Masalas,0.5,everest,EVEREST Pav Bhaji Masaia
wrong brand,Park Ave Deo Cool Blue,park-ave-deo-cool-blue.jpg,Personal Care,0.6,"santoor, unilever",MONTHLY YALUE PACK MONTHLY VALUE PACK BRU SANTOOR PUREGLO RGNTHLY VALUEPACK SANTOOR PACKOF1259A Ro ERESH San PARK AVENUE PREMIUMMEN'SSOAP SAVE COOL BLUE Menthol+Multi-Mineral Energizers Liril BUVSGET1FREE BUY3 GET1 FREE FREE CIN
wrong brand,Hald Moong Dal-10rs,hald-moong-dal-10rs.jpg,Pulses & Grains,0.67,haldiram,Haldiram's MOONG DAL rga sation 45%less fat* No RICHIN Cholesterol Zero Trans Fat High DietaryFiber 45%lessfatthanregularpotatochips
wrong brand,Hald Bhujia Sev 400 G,hald-bhujia-sev-400-g.jpg,Bakery & Snacks,0.67,haldiram,Haldiram's INDIAN SNACKS BHUJIA SEV Bikcaneri famous hot-n·spicy PRODUC INDI NE QUANT 600g
wrong brand,Hald Bhujia Sev 200g,hald-bhujia-sev-200g.jpg,Bakery & Snacks,0.67,haldiram,Haldiram's INDIAN SNACKS BHUJIA SEV Bikcaneri famous hot-n·spicy PRODUC INDI NE QUANT 600g
wrong brand,Org Pink Rock Salt 1Kg,org-pink-rock-salt-1kg.jpg,Salt & Condiments,0.75,himalaya,KEN MKENZIE'S FOREVERYDAYSINCE18S2 410gNET HIMALAYAN PINK ROCK SALT
wrong brand,Smoodh 10Rs,smoodh-10rs.jpg,Bakery & Snacks,1.0,parle,HAOOWS Toffee ENJOY DAILY Caramel ANYWHERE. Parle Agro SHAKE AND SMOODH DRINK Toffee Caramel LO Packs forR400 MRP(INCLOFALLTAXES) Parle Agro
wrong brand,L.O.G Asafoetida 100G,l-o-g-asafoetida-100g.jpg,Spices & Masalas,1.0,mtr,"MTR SINCE 1924 ""Strong Flavou HING Compounded Asafoetida Powder Colou Kabuli Hing Quality Promises Taste"
wrong brand,Sunrise Ex 200G S,sunrise-ex-200g-s.webp,Tea & Coffee,1.0,nestle,NESCAFE Sunrise RICH AROMA MADEWITH SLOWROASTED COFFEE BEANS
wrong brand,Sunrise 2Rs,sunrise-2rs.jpg,Tea & Coffee,1.0,nestle,NESCAFE Sunrise RICH AROMA MADE WITHSLOWROASTED COFFEE BEANS
wrong brand,Meswak 200 G,meswak-200-g.png,Personal Care,1.0,dabur,Dabur Looth raste Dabur MESWAK uilh erchacto HERBALTOOTHPASTEDENTIFRICEAUXHERBES Meswak heth Net Wt.: 7.05 oz. (200g) Dabur Looth raste Dabur MESWAK with enchact o HERBALTOOTHPASTE/DENTIFRICEAUXHERBES Net Wt.: 7.05 oz. (200g)
wrong brand,Winner Blades,winner-blades.jpg,Personal Care,1.0,gillette,WINNER By Gillette STAINLESSSTEELBLADES WINNER TM WINNER By Gillette STAINLESS STEEL BLADES WINNER
wrong brand,Lactogen No 2 400 G R,lactogen-no-2-400-g-r.jpg,Baby Care,1.0,nestle,Nestle LACTOGEN Follow-Up Formula Net weight:350g
no overlap,Brit Bourbon 10Rs,brit-bourbon-10rs.jpg,Bakery & Snacks,0.0,,BRITANDBA bourcon ucAunco eBoubonFiends
no overlap,Pma Fun Ville25,pma-fun-ville25.png,Bakery & Snacks,0.0,,MIXEDFRUIT Bakery ALL TIME Family cake UIT
no overlap,Boomer Lollypop,boomer-lollypop.jpg,Chocolates & Candies,0.0,,PIECE BODMER Lollipop BOILEDCONFECTIONERY STRAWBERRY FLAVOUR
no overlap,Polo-10,polo-10.png,Chocolates & Candies,0.0,,PAAN CREATTIEWISJALZATON FLAVOUR THE PAAN WITH THEHOLE
no overlap,Dds Black Grapes 50G,dds-black-grapes-50g.webp,Dry Fruits & Nuts,0.0,,NUTRIA freat DRYGRAPES 000000
no overlap,Dds Salted Pista 50 G,dds-salted-pista-50-g.jpg,Dry Fruits & Nuts,0.0,,Delicious CRYFRUTSSPICES
no overlap,Match Box,match-box.jpg,Household,0.0,,diamond STRIKEON BOX MATCHES 250COUNT LARGE KITCHEN MATCHES
no overlap,A2B 10Rs,a2b-10rs.jpg,Bakery & Snacks,0.0,,MADRASMIXTUP Nh&Tasty PRODUCTOFI
no overlap,Brit Treat Van 10,brit-treat-van-10.jpg,Bakery & Snacks,0.0,,neat BUTTER COOKIES TASTE THE RICHNESS OF TRADITON FINESTBUTTERCOOKIESSELECTION Net. Wt.120z (340g)
no overlap,Canaan 20-30,canaan-20-30.png,Bakery & Snacks,0.0,,"MOVING COMPANY INVOICE MOVING INFORMATION DETAILS PICKUP ADDRESS: DATE: INVOICE NO. DROP-OFF ADDRESS: TERMS: FROM BIlL TO COMPANY: COMPANY: ATTN: ATTN: ADDRESS: ADDRESS: CITY, STATE: CITY, STATE: ZIP: ZIP: PHONE: PHONE: E-MAIL: E-MAIL: RATE ($/HR) LABOR HOURS AMount ($) TOTAL PACKING MATERIALS QUANT"
no overlap,Oreo Rs10,oreo-rs10.jpg,Bakery & Snacks,0.0,,REO EO OR OR REO Packaging Might Vary
