file,score,used_by,width,height,sharpness,contrast,brightness,fill,bytes_per_px,problems,products
gar-bright-com-fair-cr45g.jpg,9.0,1,866,812,65.6,16.4,243.1,0.08,0.0189,soft (66); flat; blown out; pack fills 8%; heavily compressed,Gar Bright Com Fair Cr45G
nykaa-cotton-pads.jpg,9.0,1,300,300,157.2,21.9,243.9,0.202,0.0426,small (300x300); flat; blown out; pack fills 20%; heavily compressed,Nykaa Cotton Pads
yard-deo-eng-lav150ml.jpg,9.0,1,355,355,2446.0,32.7,244.0,0.177,0.0749,small (355x355); flat; blown out; pack fills 18%; heavily compressed,Yard Deo Eng Lav150Ml
col-zig-zag-brush.jpg,7.5,1,432,491,258.7,51.9,232.9,0.178,0.062,small (432x491); blown out; pack fills 18%; heavily compressed,Col Zig-Zag Brush
jun-horlicks-van200g.jpg,7.5,1,480,480,499.9,50.4,232.5,0.205,0.072,small (480x480); blown out; pack fills 21%; heavily compressed,Jun Horlicks Van200G
socks.jpg,7.5,1,500,500,89.2,32.4,226.8,0.168,0.0943,soft (89); flat; blown out; pack fills 17%,Socks
camphor-katti-nrb.jpg,6.0,1,500,500,150.4,34.7,240.1,0.151,0.0491,flat; blown out; pack fills 15%; heavily compressed,Camphor Katti Nrb
fevicol-25gm.jpg,6.0,1,1000,1000,32.9,35.6,164.4,0.243,0.0318,soft (33); flat; heavily compressed,Fevicol 25Gm
gar-bright-com-fw-100g.jpg,6.0,1,1000,1000,832.6,27.2,245.5,0.15,0.0538,flat; blown out; pack fills 15%; heavily compressed,Gar Bright Com Fw 100G
gar-bright-com-fw-50g.jpg,6.0,1,500,500,499.9,26.4,245.0,0.116,0.0626,flat; blown out; pack fills 12%; heavily compressed,Gar Bright Com Fw 50G
gar-bright-com-ser-fw-50g.jpg,6.0,1,500,500,499.9,26.4,245.0,0.116,0.0626,flat; blown out; pack fills 12%; heavily compressed,Gar Bright Com Ser Fw 50G
gokul-300-g.jpg,6.0,1,1000,1000,326.7,36.2,240.1,0.12,0.0426,flat; blown out; pack fills 12%; heavily compressed,Gokul 300 G
h-s-basic-clean-2-x-4.jpg,6.0,1,1000,1000,431.0,31.3,246.4,0.033,0.0377,flat; blown out; pack fills 3%; heavily compressed,H&S Basic Clean-2 X 4
lizol-citrus-975ml.jpg,6.0,1,600,441,422.2,36.9,239.7,0.202,0.0693,flat; blown out; pack fills 20%; heavily compressed,Lizol Citrus 975Ml
ponds-hydra-light-gel-wash100h.jpg,6.0,1,1000,1000,194.1,31.6,242.6,0.166,0.0309,flat; blown out; pack fills 17%; heavily compressed,Ponds Hydra Light Gel Wash100H
premier-10handkerchiefs.png,6.0,1,768,768,124.6,33.9,19.2,0.2,0.0449,flat; dark; pack fills 20%; heavily compressed,Premier 10Handkerchiefs
savlon-handwash-200ml-pump.jpg,6.0,1,1000,1000,221.6,33.0,241.6,0.179,0.0429,flat; blown out; pack fills 18%; heavily compressed,Savlon Handwash 200Ml Pump
seama-oil-dispenser.jpg,5.5,1,1001,1001,68.0,38.1,232.6,0.322,0.038,soft (68); blown out; heavily compressed,Seama Oil Dispenser
vim-drop-20.jpg,5.5,1,216,387,649.5,27.5,240.0,0.22,0.1044,small (216x387); flat; blown out,Vim Drop 20
d-h-sy-vinegar1l.png,5.0,1,813,420,255.5,34.2,110.0,0.055,0.0733,flat; pack fills 6%; heavily compressed,D.H Sy Vinegar1L
thums-up-250ml.jpg,5.0,1,429,424,893.2,74.1,218.2,0.198,0.1022,small (429x424); pack fills 20%,Thums Up 250ml
5-star-5rs.jpg,4.5,1,1000,499,716.7,38.8,241.7,0.147,0.0563,blown out; pack fills 15%; heavily compressed,5 Star 5Rs
aahhaa-standardised-milk-500ml.jpg,4.5,1,1000,1000,407.6,52.4,228.9,0.18,0.0458,blown out; pack fills 18%; heavily compressed,Aahhaa Standardised Milk 500Ml
ban-rose-water60ml.jpg,4.5,1,500,500,238.6,43.1,238.3,0.173,0.0515,blown out; pack fills 17%; heavily compressed,Ban Rose Water60Ml
bisleri-300ml.png,4.5,1,1000,1000,350.0,32.6,242.9,0.064,0.224,flat; blown out; pack fills 6%,Bisleri 300Ml
bisleri-500ml.jpg,4.5,1,1000,1000,316.9,91.6,59.0,0.156,0.0464,dark; pack fills 16%; heavily compressed,Bisleri 500Ml
brit-fudge-it20rs.jpg,4.5,1,1000,1000,1104.6,39.0,47.0,0.216,0.0648,dark; pack fills 22%; heavily compressed,Brit Fudge It20Rs
brite-comb.jpg,4.5,1,500,500,805.3,53.5,231.1,0.185,0.0616,blown out; pack fills 19%; heavily compressed,Brite Comb
canaan-20-30.png,4.5,1,1615,2090,4637.2,43.1,245.4,0.004,0.0096,blown out; pack fills 0%; heavily compressed,Canaan 20-30
