problem,name,category,price,product_id
heavily abbreviated,Act Ii Pop Classic Salt 20,Bakery & Snacks,20,6a378be4b55b0b17fc8904d9
heavily abbreviated,Act Ii Pop Corn Butter Pepper,Bakery & Snacks,34,6a378be4b55b0b17fc8904da
heavily abbreviated,Act Ii Pop Corn Golden Sizzle,Bakery & Snacks,10,6a378be4b55b0b17fc8904db
heavily abbreviated,Act Ii Pop Magic Butter,Bakery & Snacks,10,6a378be4b55b0b17fc8904dc
heavily abbreviated,Act Ii Pop South Spice,Bakery & Snacks,31,6a3a863cb13c79f383c4f6bf
heavily abbreviated,Act Ii Pop Tan Tadka,Bakery & Snacks,31,6a3a863cb13c79f383c4fbf9
heavily abbreviated,Act Ii Sour Cr Cheese 15,Dairy & Fats,15,6a3a863cb13c79f383c4fb2a
heavily abbreviated,All Out Liq 60 Nights,Household,97,6a3a863cb13c79f383c4fb07
heavily abbreviated,Aru Kul Chilli Pow 50g,Spices & Masalas,15,6a3a863cb13c79f383c4fbfa
heavily abbreviated,Ban Bl Henna Her Cr Hair Col,Personal Care,29,6a3a863cb13c79f383c4fc03
heavily abbreviated,Cmc Wheat App Ch,Rice & Cereals,285,6a3a863cb13c79f383c4f8ee
heavily abbreviated,Col Zig Zag 6pc,Personal Care,120,6a378be4b55b0b17fc8906ab
heavily abbreviated,Col Zig-Zag Brush,Personal Care,25,6a378be4b55b0b17fc8906ac
heavily abbreviated,Dettol Hw Sc Liq 185ml Pouch,Health & Wellness,135,6a3a863cb13c79f383c4fc70
heavily abbreviated,Dove Men Hy Boost Fw50g,Personal Care,131,6a3a863cb13c79f383c4f78b
heavily abbreviated,Dove Men Oil Con Fw150g,Personal Care,374,6a3a863cb13c79f383c4f853
heavily abbreviated,Egg N Box 12ps,Vegetables & Fruits,70,6a3a863cb13c79f383c4f9aa
heavily abbreviated,Ensure Dia Van 375Ref,Health & Wellness,775,6a378be4b55b0b17fc8905ef
heavily abbreviated,Everyuth Tan Rem Ch Scrub 25g,Household,68,6a3a863cb13c79f383c4fa8d
heavily abbreviated,Flair Inky Liq Fo Pen,Toys & Stationery,47,6a378be4b55b0b17fc890871
heavily abbreviated,Gar Bright Com Bb Cream,Personal Care,267,6a378be4b55b0b17fc8906c6
heavily abbreviated,Gar Bright Com Fair Cr45G,Personal Care,242,6a378be4b55b0b17fc8906c7
heavily abbreviated,Gar Bright Com Fw 100g,Personal Care,207,6a378be4b55b0b17fc8906c8
heavily abbreviated,Gar Bright Com Fw 50g,Personal Care,106,6a378be4b55b0b17fc8906c9
